NASA Outgassing Database
source: http://outgassing.nasa.gov
data last updated: 03/29/2013

sample_id	data_ref	mfgr_code	tml	vcm	wvr	time1	temp1	atm1	time2	temp2	atm2	time3	temp3	atm3	time4	temp4	atm4	appl_code
---------	--------	---------	---	---	---	-----	-----	----	-----	-----	----	-----	-----	----	-----	-----	----	---------
V MATERIAL IN CLICKBOND CB4023V, GLASS/PEI - 40% GLASS	GSC33214	CLB	0.37	0.00	0.35													CLICKBOND
VC MATERIAL IN CLICKBOND CB9257VC, CARBON FILLED PEI	GSC33217	CLB	0.52	0.00	0.28													CLICKBOND
0.5 MIL KAPTON KEVLAR, SHELDAHL 177544	GSC32950	SCH	2.48	0.05	1.97													BLANKET MATERIAL
1.6 MIL GBK NOMEX, SHELDAHL 177541-001	GSC32947	SCH	1.81	0.03	1.76													BLANKET MATERIAL
100 DUN-LAM, GE COATED BLACK KAPTON XC	GSC33397	DUN	0.89	0.01	0.67													COND BLANKET FILM
1170 ALUMINUM FOIL EMI SHIELDING TAPE	GSC32728	MMM	0.30	0.09	0.02													TAPE
1181 COPPER FOIL EMI SHIELDING TAPE WITH COND ACRYLIC ADHESIVE	GSC32731	MMM	0.18	0.03	0.01													TAPE
11N LAMINATE	GSC29152	ARL4	0.32	0.00	0.23													LAMINATE
13664 FLUOROCARBON RUBBER (F75)	GSC33088	PCX	0.13	0.00	0.06	10M	177	AIR	24H	250	AIR							RUBBER
160 D-M GERMANIUM / BLACK KAPTON XC/NOMEX LOT # 06121934-1	GSC30253	DUM	1.95	0.07	1.61													BLANKET
1692 ACRYLIC TRANSFER TAPE	GSC32425	VEN	0.60	0.01	0.19													CONDUCTIVE TAPE
195 DENIER KEVLAR 49, PLAIN WEAVE 34 X 33	GSC31495	FAB	2.10	0.04	1.80													MICROMETEROID SHIELD
1P802YE POLYESTER FILM 	GSC28111	LOP	0.79	0.02	0.35													TAPE
27% NI-CLAD COPPER WIRE WITH H-ALCAL INSULATION	GSC29605	CFW	0.03	0.01	0.02	3H	350	AIR										WIRE
275 D-E GERMANIUM/BLACK KAPTON XC230/DVA (CLEAN)	GSC28267	DUN	1.63	0.01	1.27													THERMAL BLANKET
275 D-E GERMANIUM/BLACK KAPTON XC230/DVA (DISCOLORED)	GSC28270	DUN	1.51	0.01	1.20													THERMAL BLANKET
3 M KAPTON 92 TAPE	GSC27751	MMM	2.74	1.06	0.30													TAPE
3145 RTV ADHESIVE SEALANT	GSC28621	DCC	2.52	0.58	0.11	7D	25	AIR										ADHESIVE
3145 RTV ADHESIVE SEALANT	GSC28657	DCC	2.29	0.52	0.06	7D	25	AIR	4H	60	AIR							ADHESIVE
38N POLYIMIDE NO-FLOW RESIN ON WOVEN FIBERGLASS REINFORCEMENT	GSC31120	ARL	0.71	0.00	0.34	1H	185											LAMINATES AND CIRCUIT BOARDS
3BTN 1 BLANKETING MATERIAL, INNER LAYERS	GSC30397	RUS	0.32	0.00	0.24													LRO LEND
3BTN 1 BLANKETING MATERIAL, OUTER LAYER	GSC30394	RUS	1.55	0.00	1.31													LRO LEND
3BTN 1 BLANKETING MATERIAL, YELLOW THREAD	GSC30400	RUS	1.85	0.16	1.01													LRO LEND
3BTN 2 BLANKETING MATERIAL, GOLD LAYER	GSC30403	RUS	0.92	0.03	0.69													LRO LEND
3BTN 2 BLANKETING MATERIAL, WHITE THREAD	GSC30406	RUS	3.14	0.15	2.12													LRO LEND
3M 1125 1 INCH EMI COPPER TAPE	GSC30436	MMM	0.10	0.02	0.03													EMI SHIELDING
3M 1970 BAGGING MATERIAL	GSC29014	MMM	0.24	0.06	0.04													BAGGING MATERIAL
3M 40 PRINTED ANTISTATIC UTILITY TAPE	GSC31144	MMM	1.33	0.07	0.71													TAPE
3M 425 AL TAPE WITH ACRYLIC ADHESIVE - 2 1/2 INCH THICK	GSC31147	MMM	0.17	0.00	0.04													TAPE
3M 425 AL TAPE WITH ACRYLIC ADHESIVE - 4 INCH THICK	GSC31150	MMM	0.16	0.01	0.04													TAPE
3M 425 ALUMINUM TAPE	GSC31492	MMM	0.18	0.01	0.06													CONDUCTIVE TAPE
3M 427 TAPE (ALUMINUM W/ACRYLIC PSA)	GSC33718	MMM	0.19	0.01	0.04													TAPE
3M 467MP CLEAR ADHESIVE TRANSFER TAPE	GSC31312	MMM	0.90	0.02	0.18													ADHESIVE
3M 5 ELECTRICAL TAPE (ZC 6186-03 NOTED ON ROLL	GSC31609	MMM	0.62	0.10	0.19													ELECTRICAL TAPE
3M 79 TAPE # USLN-88XJ3Z-962737031343	GSC32383	MMM	0.29	0.04	0.08													TAPE
3M 9495MP DBLSIDED TAPE-POLYESTER W/ ACRYLIC ADHESIVE	GSC33394	MMM	0.97	0.01	0.20													INSULATION TAPE
3M 950 ACRYLIC TAPE	GSC33730	MMM	3.82	1.08	0.19													TAPE
3M ADHESIVE 30 NF NEUTRAL	GSC29523	MMM	5.05	0.95	0.32													ADHESIVE
3M DUAL LOCK FASTENER SJ 4570	GSC29818	MMM	1.11	0.30	0.03													RE-USABLE FASTENER
3M DUAL LOCK FASTENER SJ 4570	GSC29977	MMM	0.53	0.18	0.05	96H	70											RE-USABLE FASTENER
3M FLUORAD 723 BARRIER FILM	GSC29476	MMM	11.66	0.01	0.35	8H	65	AIR										BARRIER FILM
3M GLASS CLOTH ELECTRICAL TAPE 79, WHITE ACRYLIC ADHESIVE	GSC31429	MMM	0.37	0.04	0.15													TAPE
3M HN38S POLARIZER FILM	GSC28984	MMM	8.40	0.00	5.05													LINEAR POLARIZER
3M KYNAR HEAT SHRINK TUBING, 3/16 IN, AS RECEIVED	GSC32341	MMM	0.18	0.01	0.02													SHRINK TUBING
3M KYNAR HEAT SHRINK TUBING, 3/16 IN, HEAT SHRUNK	GSC32344	MMM	0.18	0.01	0.04													SHRINK TUBING
3M LASER MARKABLE LABEL STOCK 7846 WITH BLACK MARKING	GSC29479	MMM	2.12	0.42	0.37													LABEL
3M LASER MARKABLE LABEL STOCK 7846 WITH BROWN MARKING	GSC29482	MMM	2.00	0.39	0.38													LABEL
3M SCOTCHCAST ELECTRICAL RESIN 5230N	GSC31114	MMM	0.57	0.00	0.29	20M	204											ELECTRICAL RESIN
3M SCOTCHKOTE 134 FUSION BONDED EPOXY COATING	GSC29117	EEC	1.00	0.12	0.71	10M	160	AIR	10M	160								COATING
3M SCOTCHKOTE 134 FUSION BONDED EPOXY COATING	GSC29120	EEC	0.50	0.00	0.39	10M	160	AIR	10M	160	AIR	25M	350F					COATING
3M TAPE 1430 HD (LOT # 7242-06)	GSC30769	MMM	1.00	0.01	0.60													TAPE
3M TAPE AG-2300 CONDUCTIVE SILVER FABRIC WITH ACRYLIC ADHESIVE	GSC29839	MMM	0.75	0.17	0.19													CONDUCTIVE TAPE
3M TAPE F-9469PC, ACRYLIC ADHESIVE TRANSFER TAPE F/F	GSC31741	MMM	0.92	0.00	0.29													ADHESIVE
3M ULTRA-PURE VISCOELASTIC DAMPING POLYMER 242NR02, 2 MIL	GSC32497	MMM	0.36	0.03	0.06													DAMPING POLYMER
3M1838 GREEN, FROZEN PREMIXED ADHESIVE	GSC33109	ATK	0.39	0.01	0.14	2H	70	AIR										ADHESIVE
3M1838 GREEN, FROZEN PREMIXED ADHESIVE	GSC33112	ATK	0.36	0.01	0.14	4H	70	AIR										ADHESIVE
4/6 NYLON, US 94V-0	GSC28411	MEX	1.53	0.01	0.79													CONNECTOR HOUSING
41AWG ESSEX (SOLIDEX) (NYLON YARN WRAPPING)	GSC27748	KLW 	3.75	0.60	1.49													WIRE WRAPPING
41AWG ESSEX (SOLIDEX) LITZ WIRE (SOLDERABLE POLYESTER WIRE)	GSC27745	KLW	0.03	0.00	0.00													WIRE
49N MULTIFUNCTIONAL, HIGH TG, LOW FLOW EPOXY PREPREG	GSC33715	ARL	0.69	0.00	0.35													PREPREG ADHESIVE FOR PCB
50VT FLUOROCARBON ELASTOMER O-RING, ITT P/N 561525-19	GSC31270	APR	0.15	0.00	0.10													O-RING
55LM LAMINATE	GSC29149	ARL4	1.08	0.00	0.54													LAMINATE
55STT - NON-WOVEN ARAMID FIBER REINFORCED POLYIMIDE LAMINATE	GSC29176	ARL4	1.21	0.00	0.61	1H	180											LAMINATE
84N MULTIFUNCTIONAL, HIGH TG, LOW FLOW EPOXY PREPREG	GSC33721	ARL	1.49	0.00	0.84													PREPREG ADHESIVE FOR PCB
85NT - NON-WOVEN ARAMID FIBER REINFORCED POLYIMIDE LAMINATE	GSC29170	ARL4	2.02	0.00	1.63	1H	220											LAMINATE
85RT - NON-WOVEN ARAMID FIBER REINFORCED POLYIMIDE LAMINATE	GSC29173	ARL4	1.89	0.00	1.41	1H	220											LAMINATE
91A/KAPTON GOLD PLATED COPPER COND/ACRYLIC ADH (K102.5)	GSC28414	KAD	2.00	0.00	1.63													FLEXIBLE CIRCUIT BOARD
91ML; FIBERGLASS REINFORCED, CERAMIC FILLED, HIGH TG EPOXY RESIN COMPOSITE	GSC31069	ARL	0.49	0.01	0.25	1H	185	AIR										LAMINATES
91ML; FIBERGLASS REINFORCED, CERAMIC FILLED, HIGH TG EPOXY RESIN COMPOSITE	GSC30577	ARL	0.27	0.00	0.18	1H	185											LAMINATES AND CIRCUIT BOARDS
92ML: CERAMIC FILLED THERMALLY CONDUCTIVE MULTIFUNCTIONAL EPOXY	GSC30616	ARL	0.29	0.00	0.18	90M	185											LAMINATES AND CIRCUIT BOARDS
92ML; FIBERGLASS REINFORCED, CERAMIC FILLED, HIGH TG EPOXY RESIN COMPOSITE	GSC31072	ARL	0.54	0.00	0.44	1H	185	AIR										LAMINATES
992 ELASTOMERIC COMPOUND (NITRILE)	GSC27781	JCC	1.67	0.39	0.19													GASKET
9920 PRIMER - THICK PAINT CHIPS - A:B 5.5:1 PBW	GSC31816	LOR	6.56	0.05	0.13	18H	25	AIR										PRIMER
9929 PRIMER/F - A:B 5.5:1 PBW	GSC31813	LOR	3.21	0.03	0.41	18H	25	AIR										PRIMER
9947 WASH PRIMER, AEROGLAZE, 2 PART	GSC32794	LOR	12.00	0.18	0.25	2H	25	AIR										PRIMER
99ML; FIBERGLASS REINFORCED, CERAMIC FILLED, EPOXY RESIN COMPOSITE	GSC30556	ARL	0.43	0.00	0.21	1H	185	AIR										LAMINATES AND CIRCUIT BOARDS
A 276 TOPCOAT	GSC27697	HCC	3.80	0.08	0.46													PAINT
A/S ULO POLY BAGGING FILM CO-EXTRUDED ANTI-STATIC	GSC27388	CCT	0.29	0.08	0.00													BAGGING
A-1177B A/B AS 1/1 BW EPOXY - BROWN	GSFC7166	BFG	0.45	0.02	0.23	24H	25	AIR	30M	82	AIR							ADHESIVE
A-1273-B A/B AS 1/1 BW GREEN EPOXY PER MMM A132	GSFC9536	BFG	0.75	0.04	0.15	48H	25	AIR										ADHESIVE
A-1273-B A/B AS 1/1 BW GREEN EPOXY PER MMM A132	GSFC9560	BFG	0.71	0.05	0.16	16H	25	AIR	15M	121	AIR							ADHESIVE
A-1282-B ONE PART HEAT CURED EPOXY	GSC15624	BFG	0.65	0.01	0.63	20M	204	AIR										ADHESIVE
A-1362-B ONE COMPONENT EPOXY	GSFC9298	BFG	1.18	0.34	0.29	1H	121	AIR										ADHESIVE
A-1396-B EPOXY	GSFC8300	BFG	11.69	0.65	0.28	1H	121	AIR										ADHESIVE
A-150 TISSUE EQUIVALENT PLASTIC, EXRADIN, 1 INCH THICK X 1 (TEP)	GSC29293	SIM	1.29	0.05	0.29													RADIATION ABSORPTION
A-150 TISSUE EQUIVALENT PLASTIC, EXRADIN, 1 INCH THICK X 1 (TEP)	GSC29419	SIM	1.00	0.02	0.18	24	125	AIR										RADIATION ABSORPTION
A-150 TISSUE EQUIVALENT PLASTIC, EXRADIN, 1 INCH THICK X 1 (TEP)	GSC29455	SIM	0.18	0.00	0.06	24H	130	E-6										RADIATION ABSORPTION
A-150 TISSUE EQUIVALENT PLASTIC, EXRADIN, 1 INCH THICK X 1 (TEP)	GSC29458	SIM	0.65	0.01	0.08	24H	90	E-6										RADIATION ABSORPTION
A-150 TISSUE EQUIVALENT PLASTIC, EXRADIN, 1 INCH THICK X 1 (TEP)	GSC29461	SIM	0.88	0.01	0.08	24H	60	E-6										RADIATION ABSORPTION
A-18 A/B AS 10/8 BW EPOXY	GSFC3451	HYS	1.54	0.04		7D	25	AIR										ADHESIVE
A2 COATING OR MPP CORES	GSC31408	ZZZ	1.10	0.02	0.25	96H	85	AIR										ADHESIVE
A-4000 A/B AS 100/4.5 BW SILICONE	GSFC5479	DCC	2.85	1.63		16H	25	AIR	20H	93	AIR							ADHESIVE
A528 FILM ADHESIVE	GSC24792	SHD	0.37	0.17	0.04	6H	85	AIR										FILM ADHESIVE
A-528 POLYESTER ADH FILM CLEAR	GSC21433	GTS	0.81	0.33	0.18													ADHESIVE
A-529 POLYESTER ADH FILM CLEAR	GSC21395	GTS	1.02	0.42	0.17													ADHESIVE
A-546 POLYESTER ADH FILM SEMI-TRANSLUCENT	GSC21393	GTS	0.81	0.27	0.03													ADHESIVE
A8-4219/HD-3404 AS 100/9 BW EPOXY	GSC10934	HYS	2.96	0.06	0.28	7D	25	AIR										POTTING
A9-601 EPOXY HONEYCOMB ADH	GSFC2641	HYS	0.36	0.03		1H	121	PSI										ADH FILM
AAP-3 FOAM RF ABSORBER BLACK W/BLUE COAT ONE EDGE	GSC14767	AAP	4.18	0.63	0.94													ABSORBER
AAP-HC HONEYCOMB MICROWAVE ABSORBER	GSC13006	AAP	1.75	0.04	0.89													ABSORBER
AAP-LS-2000 FOAM RF ABSORBER BLACK	GSC14764	AAP	4.34	0.37	0.16													ABSORBER
AAP-ML-F2 FOAM MICROWAVE ABSORBER BLUE COAT ONE SIDE	GSC14740	AAP	3.03	0.38	0.48													ABSORBER
AAP-SS-H RF ABSORBER METALLIC/GRAPHITE/FOAM	GSFC8938	AAP	0.85	0.04	0.17													FOAM COMPOSITE
ABLEBOND 16-1 A/B AS 100/7 BW SILVER FILLED EPOXY	GSC17520	AAC	1.21	0.04	0.18	7D	25	AIR										COND ADHESIVE
ABLEBOND 16-1 A/B AS 100/7 BW SILVER FILLED EPOXY	GSFC9392	AAC	0.71	0.15	0.10	24H	25	AIR	16H	65	AIR							COND ADHESIVE
ABLEBOND 163-4 A/B AS 20/9 BW COPPER FILLED EPOXY	GSFC1078	AAC	1.39	0.08		2H	77	AIR										COND ADHESIVE
ABLEBOND 20-1 SILVER FILLED EPOXY ONE COMPONENT	GSFC5531	AAC	0.19	0.00		30M	150	AIR										COND ADHESIVE
ABLEBOND 224-1 A/B AS 10/1 BW EPOXY	GSFC5250	AAC	3.30	0.38		15M	65	AIR										ADHESIVE
ABLEBOND 224-8 A/B AS 100/7.3 BW EPOXY	GSFC3293	AAC	0.39	0.00		1H	52	AIR										ADHESIVE
ABLEBOND 293-1 A/B AS 25/2 BW FILLED EPOXY	GSC13335	AAC	2.05	0.02	0.46	4H	74	AIR										ADHESIVE
ABLEBOND 293-1 A/B AS 25/4 BW EPOXY	GSFC5272	AAC	1.32	0.08		4H	74	AIR										ADHESIVE
ABLEBOND 293-1FT BLACK	GSC22708	AAC	1.54	0.04	0.36	1.5H	95	AIR										ADHESIVE
ABLEBOND 342-13ACC ONE PART FROZEN COLORLESS EPOXY	GSC20426	AAC	1.03	0.01	0.37	7D	25	AIR										ADHESIVE
ABLEBOND 342-13ACC/5% BLACK EPOXY	GSC10886	AAC	1.05	0.07	0.29	2H	65	AIR										ADHESIVE
ABLEBOND 36-2 SILVER FILLED EPOXY	GSFC5693	AAC	0.30	0.00		30M	150	AIR										COND ADHESIVE
ABLEBOND 41-5 EPOXY	GSFC5635	AAC	0.46	0.00		30M	150	AIR										ADHESIVE
ABLEBOND 41-6 EPOXY	GSFC5637	AAC	0.34	0.01		30M	150	AIR										ADHESIVE
ABLEBOND 463-1 A/B AS 10GM/16DPS SILVER FILLED EPOXY	GSFC9395	AAC	0.62	0.01	0.11	2H	25	AIR	1H	65	AIR							COND ADHESIVE
ABLEBOND 481-19 LIQUID EPOXY ADHESIVE	GSC20845	AAC	3.81	0.52	0.29	15M	75	AIR	2H	125	AIR							ADHESIVE
ABLEBOND 57-2R MODIFIED EPOXY DARK RED	GSC12148	AAC	2.59	0.16	0.39	2H	71	AIR										ADHESIVE
ABLEBOND 606-2NC TAN EPOXY PASTE	GSC14082	AAC	4.07	0.03	0.34	30M	158	AIR										ADHESIVE
ABLEBOND 606-2NC TAN EPOXY PASTE	GSC14085	AAC	3.16	0.03	0.30	60M	158	AIR										ADHESIVE
ABLEBOND 606-2NC TAN EPOXY PASTE	GSC14187	AAC	0.81	0.01	0.35	1H	95	AIR	30M	150	AIR	3.5H	165	AIR	96H	100	AIR	ADHESIVE
ABLEBOND 606-2NC TAN EPOXY PASTE	GSC14190	AAC	0.82	0.01	0.25	2H	95	AIR	30M	150	AIR	3.5H	165	AIR	96H	100	AIR	ADHESIVE
ABLEBOND 642-1 ALUMINA FILLED ORANGE EPOXY	GSC21385	AAC	0.89	0.01	0.44	18H	80	AIR										ADHESIVE
ABLEBOND 642-1 ONE PART FROZEN AMBER EPOXY	GSC20423	AAC	0.71	0.00	0.36	2H	75	AIR										ADHESIVE
ABLEBOND 681-12-3VD YELLOW EPOXY	GSC18611	AAC	10.33	0.02	0.33	30M	85	AIR	1H	150	AIR							ADHESIVE
ABLEBOND 681-12-3VD/ACCELERATOR 309 YELLOW EPOXY	GSC18743	AAC	11.04	0.05	0.31	30M	85	AIR	1H	150	AIR							ADHESIVE
ABLEBOND 71-1 SILVER FILLED POLYIMIDE	GSC10814	AAC	0.24	0.06	0.18	10M	150	AIR	10M	275	AIR							COND ADHESIVE
ABLEBOND 71-1 SILVER FILLED POLYIMIDE	GSC10817	AAC	0.17	0.01	0.14	30M	150	AIR	30M	275	AIR							COND ADHESIVE
ABLEBOND 71-1 SILVER FILLED POLYIMIDE	GSC11651	AAC	0.25	0.00	0.17	30M	150	AIR	30M	275	AIR							COND ADHESIVE
ABLEBOND 731-1 A/B AS 100/47 BW YELLOW EPOXY	GSFC7250	AAC	0.92	0.11	0.21	3H	79	AIR										POTTING
ABLEBOND 742-1 EPOXY FROZEN PRE-MIX LT GREEN	GSC24641	AAC	0.32	0.00	0.20	2H	150	AIR										ADHESIVE
ABLEBOND 77-2LTC BLACK EPOXY ADHESIVE ONE PART	GSC19355	AAC	0.58	0.01	0.35	30M	80	AIR										ADHESIVE
ABLEBOND 789-3 AMBER EPOXY (ONE PART)	GSC25390	AAC	0.60	0.00	0.23	1H	125	AIR										ADHESIVE
ABLEBOND 789-3/5% BW CABOSIL YELLOW-BROWN EPOXY	GSC14572	ACC	0.85	0.00	0.29													ADHESIVE
ABLEBOND 789-4 SINGLE COMPONENT THERM COND EPOXY	GSC14348	AAC	0.44	0.01	0.21	1H	125	AIR										THERM COND ADH
ABLEBOND 8175 SILVER FILLED ONE PART EPOXY	GSC21523	AAC	0.18	0.01	0.05	2H	120	AIR										COND ADHESIVE
ABLEBOND 826-1 ONE COMPONENT SILVER FILLED ADH	GSFC7862	AAC	0.58	0.03	0.22	30M	150	AIR										COND ADHESIVE
ABLEBOND 8370	GSC32407	HEN	0.05	0.00	0.03	3H	160	AIR										ADHESIVE
ABLEBOND 84-1 LMI	GSC28882	EMC	0.12	0.03	0.08	15M	100	AIR	30M	150	AIR							ADHESIVE
ABLEBOND 84-1 LMI AG FILLED CONDUCTIVE ADHESIVE	GSC25660	AAC	0.12	0.00	0.04	1H	150	AIR										COND ADHESIVE
ABLEBOND 84-1 LMI AG FILLED CONDUCTIVE ADHESIVE	GSC25663	AAC	0.10	0.00	0.04	2H	125	AIR										COND ADHESIVE
ABLEBOND 84-1 LMIS ONE PART SILVER FILLED EPOXY	GSC15813	AAC	0.26	0.01	0.12	1H	150	AIR										COND ADHESIVE
ABLEBOND 84-1 LMIT 1 PART SILVER FILLED EPOXY	GSC30979	AAC	0.14	0.01	0.06	1H	150	AIR										COND ADHESIVE
ABLEBOND 84-1 LMIT 1 PART SILVER FILLED EPOXY	GSC22381	AAC	0.12	0.01	0.09	2H	125	AIR										COND ADHESIVE
ABLEBOND 84-1 LMIT 1 PART SILVER FILLED EPOXY	GSC22384	AAC	0.10	0.02	0.09	1H	150	AIR										COND ADHESIVE
ABLEBOND 84-1LMINB1	GSC33052	AAC	0.23	0.00	0.12	30M	150	AIR										DIE ATTACH ADHESIVE
ABLEBOND 84-3	GSC33055	AAC	0.32	0.00	0.20	1H	150	AIR										DIE ATTACH ADHESIVE
ABLEBOND 84-3 ONE PART GREEN EPOXY	GSC15816	AAC	0.35	0.00	0.16	1H	150	AIR										ADHESIVE
ABLEBOND 84-3J ELECTRICALLY INSULATING EPOXY ADH	GSC25161	AAC	0.23	0.00	0.13	1H	150	AIR										ADHESIVE
ABLEBOND 84-3J ELECTRICALLY INSULATING EPOXY ADH	GSC25185	AAC	0.20	0.00	0.12	1H	150	AIR										ADHESIVE
ABLEBOND 85-1 GOLD FILLED EPOXY ADHESIVE	GSC23137	ROG	0.20	0.01	0.08	2H	121	AIR										ADHESIVE
ABLEBOND 8700E CLOTH SUPPORT/EPOXY FILM ADH TAN	GSC22930	AAC	0.30	0.00	0.25	2H	121	AIR	16H	160	AIR							FILM ADHESIVE
ABLEBOND 8700K CLOTH SUPPORT/EPOXY FILM ADH BONE	GSC22933	AAC	0.59	0.00	0.52	2H	121	AIR	16H	160	AIR							FILM ADHESIVE
ABLEBOND 872-3 A/B AS 2/3 BW FLEXIBLE PINK EPOXY	GSFC8324	AAC	2.76	1.19	0.62	8H	75	AIR	90M	125	AIR							ADHESIVE
ABLEBOND 88-1 A/B AS 1/1 BW SILVER FILLED EPOXY	GSC11696	AAC	4.85	0.31	0.63	90M	80	AIR										COND ADHESIVE
ABLEBOND 88-1 A/B AS 1/1 BW SILVER FILLED EPOXY	GSC11699	AAC	2.41	0.04	0.41	1H	93	AIR										COND ADHESIVE
ABLEBOND 88-1 A/B AS 1/1 BW SILVER FILLED EPOXY	GSC11824	AAC	2.02	0.06	0.32	1H	125	AIR										COND ADHESIVE
ABLEBOND 88-1 A/B AS 1/1 BW SILVER FILLED EPOXY	GSC11827	AAC	2.04	0.01	0.33	1H	150	AIR										COND ADHESIVE
ABLEBOND 88-1 A/B AS 1/1 BW SILVER FILLED EPOXY	GSC11887	AAC	0.76	0.00	0.75	1H	150	AIR	24H	125	E-3							COND ADHESIVE
ABLEBOND 88-1 A/B AS 1/1 BW SILVER FILLED EPOXY THIN	GSC11932	AAC	0.81	0.01	0.40	1H	150	AIR										COND ADHESIVE
ABLEBOND 931-1 ONE COMPONENT EPOXY	GSC15169	AAC	1.75	0.00	0.32	21D	25	AIR										ADHESIVE
ABLEBOND 931-1 ONE COMPONENT EPOXY	GSC15171	AAC	1.46	0.00	0.30	2H	75	AIR										ADHESIVE
ABLEBOND 931-1 ONE COMPONENT EPOXY	GSC21783	AAC	1.60	0.01	0.50	2H	100	AIR										ADHESIVE
ABLEBOND 931-1 ONE COMPONENT EPOXY	GSC21786	AAC	1.55	0.01	0.51	2H	125	AIR										ADHESIVE
ABLEBOND 958-11	GSC32356	HEN	0.25	0.00	0.08	1H	150	AIR										ADHESIVE
ABLEBOND 958-7 SILVER FILLED ONE PART EPOXY	GSC18855	AAC	0.16	0.01	0.06	1H	150	AIR										COND ADHESIVE
ABLEBOND 965-1L, DIE AND LID ATTACH ADHESIVE	GSC28843	AAC	0.36	0.01	0.05	2H	100	AIR	3.5H	150	AIR							ADHESIVE
ABLEBOND 967-1 A/B AS 1/1 PBW AG FILLED EPOXY	GSC19917	AAC	0.54	0.01	0.28	2H	100	AIR										COND ADHESIVE
ABLEBOND 967-3 LOW TEMPERTURE CURE CHIP ADHESIVE	GSC25158	AAC	0.86	0.02	0.42	5M	150	AIR										ADHESIVE
ABLEBOND 967-3 LOW TEMPERTURE CURE CHIP ADHESIVE	GSC25188	AAC	0.82	0.01	0.43	5M	150	AIR										ADHESIVE
ABLEBOND 968-2	GSC30160	AAC	0.38	0.00	0.25	2H	125	AIR										ADHESIVE
ABLEBOND 970-3 A/B AS 10/7.4 BW BLUE EPOXY	GSC22648	AAC	1.04	0.03	0.32	24H	25	AIR										ADHESIVE
ABLEBOND 976-1 AG FILLED EPOXY FROZEN PRE-MIX	GSC21753	AAC	0.71	0.10	0.28	1H	150	AIR										COND ADHESIVE
ABLEBOND 976-1 AG FILLED EPOXY FROZEN PRE-MIX	GSC21756	AAC	0.73	0.08	0.28	2H	150	AIR										COND ADHESIVE
ABLEBOND P2-8370 GOLD FILLED EPOXY ADHESIVE	GSC23613	AIT	0.10	0.01	0.05	2H	125	AIR										ADHESIVE
ABLEBOND P2-8370 GOLD FILLED EPOXY ADHESIVE	GSC23616	AIT	0.11	0.01	0.05	4H	125	AIR										ADHESIVE
ABLEBOND P2-8370 GOLD FILLED EPOXY ADHESIVE	GSC23619	AIT	0.09	0.01	0.05	6H	125	AIR										ADHESIVE
ABLEBOND XA042485-2 BLUE EPOXY	GSC15120	AAC	0.27	0.00	0.09	7.5H	160	AIR										ADHESIVE
ABLEFILL JM8806 MOISTURE RESISTANT FLIP CHIP UNDERFILL F/F	GSC28762	AAC	0.13	0.00	0.06	45M	210	AIR	60M	150	AIR							UNDERFILL
ABLEFILL UF8806G, CHIP UNDERFILL, FROZEN PREMIX	GSC30049	ABK	0.21	0.01	0.14	45M	195	AIR										UNDERFILL
ABLEFILM 501 ADH GLASS CLOTH/EPOXY ADH	GSFC2336	AAC	1.62	0.08		3H	74	AIR										FILM ADHESIVE
ABLEFILM 501T GLASS SUPPORT/MOD EPOXY FILM ADH	GSFC8912	AAC	0.52	0.00	0.40	45M	149	AIR										FILM ADHESIVE
ABLEFILM 5020K THERMALLY CONDUCTIVE FILM ADH/F	GSC25152	AAC	0.24	0.02	0.18	1H	150	AIR										FILM ADHESIVE
ABLEFILM 5025E AG FILLED EPOXY	GSC21399	AAC	0.30	0.06	0.08	1H	149	AIR										COND ADHESIVE
ABLEFILM 5025E SILVER FILLED EPOXY	GSC22009	AAC	0.32	0.08	0.07	2H	125	AIR										COND FILM ADH
ABLEFILM 504 CLOTH SUPPORT/EPOXY FILM ADH - WHITE	GSFC8792	AAC	0.38	0.00	0.29	1.5H	93	AIR										FILM ADHESIVE
ABLEFILM 506 CLOTH SUPPORT/EPOXY FILM ADH - PINK	GSFC8795	AAC	1.05	0.37	0.13	3H	100	AIR										FILM ADHESIVE
ABLEFILM 506 CLOTH SUPPORT/EPOXY FILM ADH/F - WHITE	GSC10622	AAC	0.90	0.32	0.20	90M	125	PSI										FILM ADHESIVE
ABLEFILM 507 GLASS CLOTH/B-STAGED EPOXY	GSFC5491	AAC	0.38	0.02		1.5H	163	AIR										FILM ADHESIVE
ABLEFILM 517 GLASS CLOTH SUPPORT/EPOXY FILM ADH	GSFC2272	AAC	0.07	0.01		3H	74	AIR										FILM ADHESIVE
ABLEFILM 517-LV CLOTH SUPPORT/EPOXY FILM ADH PINK	GSC13433	AAC	0.83	0.00	0.32	3H	93	AIR										FILM ADHESIVE
ABLEFILM 518 CLOTH SUPPORT/EPOXY FILM ADH - GRAY	GSFC8717	AAC	0.83	0.00	0.15	3H	165	AIR										FILM ADHESIVE
ABLEFILM 539 TYPE II CLEAR	GSC14836	AAC	1.11	0.01	0.28	2H	125	AIR										FILM ADHESIVE
ABLEFILM 550-1-004 CLOTH REINFORCED EPOXY FILM WHITE	GSFC7523	AAC	0.42	0.12	0.24	3H	125	AIR										FILM ADHESIVE
ABLEFILM 550-1-006/F	GSC28960	AAC	0.41	0.01	0.24	1H	150	AIR										FILM ADHESIVE
